id,total_score,explanation
67,5,5
98,5,5
9,4,4
54,4,4
61,4,4
66,4,4
82,4,4
84,4,4
85,4,4
89,4,4
1,3,3
2,3,3
4,3,3
12,3,3
13,3,3
14,3,3
53,3,3
55,3,3
60,3,3
62,3,3
74,3,3
76,3,3
79,3,3
80,3,3
81,3,3
83,3,3
86,3,3
87,3,3
88,3,3
99,3,3
102,3,3
3,2,2
5,2,2
6,2,2
7,2,2
8,2,2
10,2,2
11,2,2
15,2,2
16,2,2
17,2,2
18,2,2
19,2,2
20,2,2
21,2,2
22,2,2
24,2,2
25,2,2
26,2,2
29,2,2
31,2,2
33,2,2
36,2,2
38,2,2
39,2,2
41,2,2
42,2,2
45,2,2
47,2,2
48,2,2
51,2,2
56,2,2
57,2,2
58,2,2
59,2,2
63,2,2
64,2,2
65,2,2
68,2,2
69,2,2
70,2,2
71,2,2
72,2,2
73,2,2
75,2,2
77,2,2
92,2,2
94,2,2
95,2,2
96,2,2
97,2,2
100,2,2
101,2,2
103,2,2
105,2,2
107,2,2
113,2,2
23,1,1
27,1,1
28,1,1
30,1,1
32,1,1
34,1,1
35,1,1
37,1,1
40,1,1
43,1,1
44,1,1
46,1,1
49,1,1
50,1,1
52,1,1
78,1,1
90,1,1
91,1,1
93,1,1
104,1,1
106,1,1
108,1,1
109,1,1
110,1,1
111,1,1
112,1,1
114,1,1
115,1,1
116,1,1
