ID,annotation_text,T1,T2,T3,T4,T5,Code,CodeSimp
1,I respectfully disagree with how you got your answer because I got a different answer.,,x,,,,2,2
2,Why did you add 2 and 5?,,x,,,,2,2
3,i like the way you did your math and you got the answer ,,x,,,,2,2
4,i like how you multiply and show your work and I did not multiply and we got the same anwer,,x,,,,2,2
5,I like how you did it because you put the answer the amount you spent.,,x,,,,2,2
6,I like how you did your answer in parts.,,x,,,,2,2
7,I like yours because it is almost the same as mine we both think that she will get a no,,x,,,,2,2
8,My strategy is like yours because I also did -20.75 x4,,,x,,,3,2
9,My strategy is like yours because I also added the deposits ,,,x,,,3,2
10,My strategy is like yours because I did 15 x 3 also,,,x,,,3,2
11,My strategy is like yours because I also did 3x2,,,x,,,3,2
12,I respectfully disagree with you because you were supposed to find out how much he lost. ,,,x,,,3,2
13,I like the way you did it because botnh added 83 and 30.,,,x,,,3,2
14,Next time maybe you can add 15 x 2 and the totals you get add them butni like your video.,,,,x,,4,3
15,Next time maybe you can add how you found that out. ,,x,,,,2,2
16,Next time maybe you can explain your steps more clearly like not sound distracted. ,,x,,,,2,2
17,My strategy is like yours because we did some of the same steps. ,,x,,,,2,2
18,I like the way you organized your strategy ,x,,,,,1,1
19,My strategy is like yours because i added 8 and 8 together too.,,,x,,,3,2
20,I like the way you explained why you thought he lost and gained money. ,,,x,,,3,2
21,I like the way you highlighted what you were talking about. ,,x,,,,2,2
22,I like the way you organized your work. ,x,,,,,1,1
23,I do agree with you and it is correct.,x,,,,,1,1
24,I agree with you because it's more likely for the next person to say no ,,x,,,,2,2
25,I like the way you grouped your work together.,,x,,,,2,2
26,I like the way you used arrows to show your work.,,x,,,,2,2
27,I like the way you organized your work!,x,,,,,1,1
28,I like how you organized your work!,x,,,,,1,1
29,i like how you used boxes for your work.,,x,,,,2,2
30,i like how you did your work.,x,,,,,1,1
31,I like how you organized your work.,x,,,,,1,1
32,"I like how you solved it.
",x,,,,,1,1
33,I like they way you were drawing the yes and no's.,,x,,,,2,2
34,I like they way you were drawing.,x,,,,,1,1
35,I think you did good on explaining.,x,,,,,1,1
36,"I liked how you were explaining on how you were solving your problem.
",x,,,,,1,1
37,I think you did a really good job on solving the problem keep up the good work.,x,,,,,1,1
38,I like how you were explaining on how you got your answer good job.,x,,,,,1,1
39,I like the way you put your anwnser and you explained you reponse,,x,,,,2,2
40,I like the way you put your work  together,x,,,,,1,1
41,I like the way you explained your work in a way that everyone would understand ,,x,,,,2,2
42,I like the way you put your work and how you organized it.,x,,,,,1,1
43,in the recording i could hear my voice but i cant hear it here ,x,,,,,1,1
44,that is a really good answer.,x,,,,,1,1
45,I think this is a really good job this would really be helpful,x,,,,,1,1
