,Thinklet Id,Problem Name,AnnotationCreatorID,ThinkletCreatorID,Timestamp,Annotation Text,Tokens,UsesStarter,TokensLen,NoStops,NoStopsLen,TagsNoStops,Tags,TagsCountsNS,TagsCounts,JJ,NN,",",NNS,RB,PRP,.,VBP,VBN,PRP$,IN,DT,VBD,NNP,UH,POS,CD,VBG,VB,VBZ,MD,RBR,JJR,CC,:,(,),WRB,RP,JJ_NS,NN_NS,",_NS",NNS_NS,RB_NS,PRP_NS,._NS,VBP_NS,VBN_NS,PRP$_NS,IN_NS,DT_NS,VBD_NS,NNP_NS,UH_NS,POS_NS,CD_NS,VBG_NS,VB_NS,VBZ_NS,MD_NS,RBR_NS,JJR_NS,CC_NS,:_NS,(_NS,)_NS,WRB_NS,RP_NS,RBS,WP,JJS,RBS_NS,WP_NS,JJS_NS,PredScore
0,240197,Addition Expression Stories,251344,251472,1/14/2022 18:19,"Good job bruh, heard u loud and clear ","['Good', 'job', 'bruh', ',', 'heard', 'u', 'loud', 'and', 'clear']",0,9,"['Good', 'job', 'bruh', ',', 'heard', 'u', 'loud', 'clear']",8,"[('Good', 'JJ'), ('job', 'NN'), ('bruh', 'NN'), (',', ','), ('heard', 'NN'), ('u', 'JJ'), ('loud', 'JJ'), ('clear', 'JJ')]","[('Good', 'JJ'), ('job', 'NN'), ('bruh', 'NN'), (',', ','), ('heard', 'NN'), ('u', 'JJ'), ('loud', 'NN'), ('and', 'CC'), ('clear', 'JJ')]","{'JJ_NS': 4, 'NN_NS': 3, ',_NS': 1}","{'JJ': 4, 'NN': 3, ',': 1}",4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1.727365894873709
1,240185,Addition Expression Stories,251344,251623,1/14/2022 18:20,"your voice is kinda squeaky bruh, but good job","['your', 'voice', 'is', 'kinda', 'squeaky', 'bruh', ',', 'but', 'good', 'job']",0,10,"['voice', 'kinda', 'squeaky', 'bruh', ',', 'good', 'job']",7,"[('voice', 'NN'), ('kinda', 'NNS'), ('squeaky', 'JJ'), ('bruh', 'NN'), (',', ','), ('good', 'JJ'), ('job', 'NN')]","[('your', 'PRP$'), ('voice', 'NN'), ('is', 'VBZ'), ('kinda', 'VBN'), ('squeaky', 'JJ'), ('bruh', 'NN'), (',', ','), ('but', 'CC'), ('good', 'JJ'), ('job', 'NN')]","{'NN_NS': 3, 'NNS_NS': 1, 'JJ_NS': 2, ',_NS': 1}","{'NN': 3, 'NNS': 1, 'JJ': 2, ',': 1}",2.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1.910311202223805
2,240167,Addition Expression Stories,251342,268824,1/14/2022 18:21,Good job really nice diagram,"['Good', 'job', 'really', 'nice', 'diagram']",0,5,"['Good', 'job', 'really', 'nice', 'diagram']",5,"[('Good', 'JJ'), ('job', 'NN'), ('really', 'RB'), ('nice', 'JJ'), ('diagram', 'NN')]","[('Good', 'JJ'), ('job', 'NN'), ('really', 'RB'), ('nice', 'JJ'), ('diagram', 'NN')]","{'JJ_NS': 2, 'NN_NS': 2, 'RB_NS': 1}","{'JJ': 2, 'NN': 2, 'RB': 1}",2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1.3807683264623578
3,240201,Addition Expression Stories,251451,279713,1/14/2022 18:21,You did great it was awesome and the answer is right.,"['You', 'did', 'great', 'it', 'was', 'awesome', 'and', 'the', 'answer', 'is', 'right', '.']",0,12,"['You', 'great', 'awesome', 'answer', 'right', '.']",6,"[('You', 'PRP'), ('great', 'JJ'), ('awesome', 'JJ'), ('answer', 'NN'), ('right', 'NN'), ('.', '.')]","[('You', 'PRP'), ('did', 'VBD'), ('great', 'JJ'), ('it', 'PRP'), ('was', 'VBD'), ('awesome', 'JJ'), ('and', 'CC'), ('the', 'DT'), ('answer', 'NN'), ('is', 'VBZ'), ('right', 'JJ'), ('.', '.')]","{'PRP_NS': 1, 'JJ_NS': 2, 'NN_NS': 2, '._NS': 1}","{'PRP': 1, 'JJ': 2, 'NN': 2, '.': 1}",2.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1.624965400416357
4,240168,Addition Expression Stories,268824,251342,1/14/2022 18:21,I like the way you organized the problem,"['I', 'like', 'the', 'way', 'you', 'organized', 'the', 'problem']",0,8,"['I', 'like', 'way', 'organized', 'problem']",5,"[('I', 'PRP'), ('like', 'VBP'), ('way', 'NN'), ('organized', 'VBN'), ('problem', 'NN')]","[('I', 'PRP'), ('like', 'VBP'), ('the', 'DT'), ('way', 'NN'), ('you', 'PRP'), ('organized', 'VBP'), ('the', 'DT'), ('problem', 'NN')]","{'PRP_NS': 1, 'VBP_NS': 1, 'NN_NS': 2, 'VBN_NS': 1}","{'PRP': 1, 'VBP': 1, 'NN': 2, 'VBN': 1}",0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1.4240456433755795
5,240163,Addition Expression Stories,251342,251333,1/14/2022 18:22,I like the way you made the diagram,"['I', 'like', 'the', 'way', 'you', 'made', 'the', 'diagram']",0,8,"['I', 'like', 'way', 'made', 'diagram']",5,"[('I', 'PRP'), ('like', 'VBP'), ('way', 'NN'), ('made', 'VBN'), ('diagram', 'NN')]","[('I', 'PRP'), ('like', 'VBP'), ('the', 'DT'), ('way', 'NN'), ('you', 'PRP'), ('made', 'VBD'), ('the', 'DT'), ('diagram', 'NN')]","{'PRP_NS': 1, 'VBP_NS': 1, 'NN_NS': 2, 'VBN_NS': 1}","{'PRP': 1, 'VBP': 1, 'NN': 2, 'VBN': 1}",0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1.4240456433755795
6,240171,Addition Expression Stories,249402,268825,1/14/2022 18:22,I like the way you did the number line and i do agree that the answer will be -4 ,"['I', 'like', 'the', 'way', 'you', 'did', 'the', 'number', 'line', 'and', 'i', 'do', 'agree', 'that', 'the', 'answer', 'will', 'be', '-4']",0,19,"['I', 'like', 'way', 'number', 'line', 'agree', 'answer', '-4']",8,"[('I', 'PRP'), ('like', 'VBP'), ('way', 'NN'), ('number', 'NN'), ('line', 'NN'), ('agree', 'JJ'), ('answer', 'NN'), ('-4', 'NN')]","[('I', 'PRP'), ('like', 'VBP'), ('the', 'DT'), ('way', 'NN'), ('you', 'PRP'), ('did', 'VBD'), ('the', 'DT'), ('number', 'NN'), ('line', 'NN'), ('and', 'CC'), ('i', 'NN'), ('do', 'VBP'), ('agree', 'VB'), ('that', 'IN'), ('the', 'DT'), ('answer', 'NN'), ('will', 'MD'), ('be', 'VB'), ('-4', 'JJ')]","{'PRP_NS': 1, 'VBP_NS': 1, 'NN_NS': 5, 'JJ_NS': 1}","{'PRP': 1, 'VBP': 1, 'NN': 5, 'JJ': 1}",1.0,5.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1.8967846385829172
7,240166,Addition Expression Stories,268825,251485,1/14/2022 18:23,My strategy is like yours because I did same thing as yours,"['My', 'strategy', 'is', 'like', 'yours', 'because', 'I', 'did', 'same', 'thing', 'as', 'yours']",0,12,"['My', 'strategy', 'like', 'I', 'thing']",5,"[('My', 'PRP$'), ('strategy', 'NN'), ('like', 'IN'), ('I', 'PRP'), ('thing', 'NN')]","[('My', 'PRP$'), ('strategy', 'NN'), ('is', 'VBZ'), ('like', 'IN'), ('yours', 'NNS'), ('because', 'IN'), ('I', 'PRP'), ('did', 'VBD'), ('same', 'JJ'), ('thing', 'NN'), ('as', 'IN'), ('yours', 'NNS')]","{'PRP$_NS': 1, 'NN_NS': 2, 'IN_NS': 1, 'PRP_NS': 1}","{'PRP$': 1, 'NN': 2, 'IN': 1, 'PRP': 1}",0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1.7789674392686667
8,240175,Addition Expression Stories,251485,268833,1/14/2022 18:23,I like the way you answer the problem with the number line.,"['I', 'like', 'the', 'way', 'you', 'answer', 'the', 'problem', 'with', 'the', 'number', 'line', '.']",0,13,"['I', 'like', 'way', 'answer', 'problem', 'number', 'line', '.']",8,"[('I', 'PRP'), ('like', 'VBP'), ('way', 'NN'), ('answer', 'NN'), ('problem', 'NN'), ('number', 'NN'), ('line', 'NN'), ('.', '.')]","[('I', 'PRP'), ('like', 'VBP'), ('the', 'DT'), ('way', 'NN'), ('you', 'PRP'), ('answer', 'VBP'), ('the', 'DT'), ('problem', 'NN'), ('with', 'IN'), ('the', 'DT'), ('number', 'NN'), ('line', 'NN'), ('.', '.')]","{'PRP_NS': 1, 'VBP_NS': 1, 'NN_NS': 5, '._NS': 1}","{'PRP': 1, 'VBP': 1, 'NN': 5, '.': 1}",0.0,5.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1.4255637612367207
9,240174,Addition Expression Stories,251333,274508,1/14/2022 18:23,good job,"['good', 'job']",0,2,"['good', 'job']",2,"[('good', 'JJ'), ('job', 'NN')]","[('good', 'JJ'), ('job', 'NN')]","{'JJ_NS': 1, 'NN_NS': 1}","{'JJ': 1, 'NN': 1}",1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1.141485073834403
