id,hr_relevance,hr_complexity,hr_clarity,hr_creativity,hr_breadth,hr_feedback_pot,gr_relevance,gr_complexity,gr_clarity,gr_creativity,gr_breadth,gr_feedback_pot,hr_score,gr_score
38,10,5,10,4,7,5,10,4,10,3,7,5,41,39
35,10,3,10,3,6,7,10,5,10,4,8,6,39,43
25,10,3,10,2,5,3,9,7,10,4,8,7,33,45
32,10,4,10,3,5,3,10,3,10,2,8,7,35,40
36,10,3,10,3,5,4,9,5,10,4,8,5,35,41
28,10,5,10,3,7,5,10,4,10,3,7,5,40,39
21,9,3,10,3,6,6,9,4,10,3,5,3,37,34
27,9,3,10,3,5,3,10,5,10,3,7,5,33,40
37,10,6,10,4,9,5,9,2,10,2,8,3,44,34
40,10,3,10,2,8,3,8,5,10,4,6,5,36,38
23,10,6,10,4,8,6,10,4,10,3,5,3,44,35
34,9,5,10,3,5,4,10,6,10,4,8,6,36,44
22,9,4,10,3,5,3,9,4,10,4,5,4,34,36
39,10,4,10,3,5,5,10,4,10,3,7,5,37,39
26,9,5,10,4,7,5,10,5,10,3,5,3,40,36
31,10,4,10,3,5,3,10,5,10,5,8,7,35,45
24,10,3,10,3,5,3,10,5,10,4,9,5,34,43
33,10,4,10,3,6,6,10,4,10,3,5,3,39,35
30,9,6,10,5,8,3,10,5,10,3,7,5,41,40
29,10,4,10,3,6,7,10,4,10,3,5,3,40,35
21,10,4,10,3,5,4,10,6,10,3,6,4,36,39
61,10,3,10,3,5,7,10,3,10,2,3,3,38,31
63,10,3,10,3,5,4,10,4,10,3,7,7,35,41
64,10,2,10,2,7,4,10,3,10,2,5,4,35,34
76,10,3,10,4,4,4,10,4,10,3,6,7,35,40
65,10,5,10,4,8,7,10,3,10,2,5,5,44,35
62,10,2,10,2,5,5,8,5,10,4,7,5,34,39
72,10,3,10,4,7,4,10,3,10,3,6,7,38,39
78,10,4,10,3,6,6,10,2,10,2,5,5,39,34
77,10,7,10,5,8,6,10,5,10,3,7,5,46,40
79,10,5,10,3,7,5,9,5,10,4,7,5,40,40
74,10,3,10,2,5,5,10,3,10,3,5,7,35,38
80,10,3,10,2,8,3,10,3,10,3,7,7,36,40
73,10,5,10,3,5,4,10,4,10,4,8,6,37,42
70,10,3,10,2,4,3,10,2,10,2,5,3,32,32
67,10,4,10,3,7,4,9,4,10,4,7,5,38,39
68,10,3,10,3,7,5,10,4,10,3,4,4,38,35
69,8,5,10,4,6,5,8,5,10,3,6,5,38,37
71,8,5,10,4,6,5,10,4,10,3,7,5,38,39
75,10,3,10,2,5,3,8,4,10,3,5,4,33,34
